"","rhodopsin_type","sample_ID","abundance","total_rhod","rhod_ratio","Station","depth","Depth (m)","depth_bin","bin_size"
"1","MerMAID","TARA_A100001011",5.57068921100569e-08,0.000428988915860768,0.012985625047743,"TARA_030","DCM",70,100,10
"2","MerMAID","TARA_A100001015",8.6798561688154e-08,0.000504609840230381,0.0172011234756195,"TARA_030","SRF",5,50,32
"3","MerMAID","TARA_A100001035",4.142825789378e-08,0.000252355272162677,0.0164166405317159,"TARA_032","SRF",5,50,32
"4","MerMAID","TARA_A100001388",1.5694759346543e-07,0.000298513766150515,0.0525763335772914,"TARA_031","SRF",5,50,32
"5","MerMAID","TARA_B000000441",5.3393153386997e-08,0.000433953595865002,0.0123038854605106,"TARA_065","DCM",30,50,32
"6","MerMAID","TARA_B000000532",3.6585453285463e-08,0.000338963069274179,0.0107933449398494,"TARA_062","SRF",5,50,32
"7","MerMAID","TARA_B100000029",2.2792896870769e-08,0.000166116205440112,0.0137210555769565,"TARA_034","DCM",60,100,10
"8","MerMAID","TARA_B100000214",6.9620383930266e-08,0.000372648535676714,0.0186825862078965,"TARA_052","DCM",75,100,10
"9","MerMAID","TARA_B100000401",4.7308739451788e-08,0.000370979825679729,0.0127523752444237,"TARA_064","SRF",5,50,32
"10","MerMAID","TARA_B100000405",1.0054374451184e-07,0.000393671319949014,0.0255400227085026,"TARA_064","DCM",65,100,10
"11","MerMAID","TARA_B100000424",1.6210579465863e-07,0.000249867607316277,0.0648766746517247,"TARA_072","SRF",5,50,32
"12","MerMAID","TARA_B100000427",7.5819826468567e-08,0.000356502426266106,0.0212676887679784,"TARA_072","DCM",100,100,10
"13","MerMAID","TARA_B100000459",1.4740221033503e-07,0.000342163325204962,0.0430794885006256,"TARA_070","SRF",5,50,32
"14","MerMAID","TARA_B100000508",5.9146007096997e-08,0.00017185303592013,0.0344166204456729,"TARA_072","MES",800,800,2
"15","MerMAID","TARA_B100000513",1.5273653163479e-07,0.000305427457244044,0.0500074659341284,"TARA_076","SRF",5,50,32
"16","MerMAID","TARA_B100000519",1.20662193332691e-07,0.000206559385137247,0.058415255860932,"TARA_076","DCM",150,150,14
"17","MerMAID","TARA_B100000524",7.4133998810999e-08,0.000338830020594651,0.0218794068721812,"TARA_078","SRF",5,50,32
"18","MerMAID","TARA_B100000530",1.27152620112985e-07,0.000355632431236155,0.0357539439445977,"TARA_078","DCM",120,150,14
"19","MerMAID","TARA_B100000575",9.40333823519156e-08,0.000452766002229118,0.0207686491231581,"TARA_111","SRF",5,50,32
"20","MerMAID","TARA_B100000579",1.6678798334986e-07,0.00045182975007829,0.0369139002734902,"TARA_111","DCM",90,100,10
"21","MerMAID","TARA_B100000674",1.50521725577089e-07,0.000412306363578284,0.0365072525853726,"TARA_124","SRF",5,50,32
"22","MerMAID","TARA_B100000676",6.20721622451535e-08,0.000372838887026387,0.0166485214941542,"TARA_124","MIX",120,150,14
"23","MerMAID","TARA_B100000686",9.8934701364185e-08,0.000188275938743611,0.0525477137569403,"TARA_123","MIX",150,150,14
"24","MerMAID","TARA_B100000700",1.1736923369183e-07,0.000309803350251279,0.0378850756767584,"TARA_122","DCM",115,150,14
"25","MerMAID","TARA_B100000767",3.5105916470632e-07,0.000442501995523788,0.0793350466794557,"TARA_082","DCM",40,50,32
"26","MerMAID","TARA_B100000768",5.56702348834282e-07,0.000419381895543201,0.132743533936585,"TARA_082","SRF",5,50,32
"27","MerMAID","TARA_B100000780",7.4728943295055e-07,0.000389056747238575,0.192077232500045,"TARA_084","SRF",5,50,32
"28","MerMAID","TARA_B100000787",5.34475767943223e-07,0.000414542012887224,0.128931628478542,"TARA_085","SRF",5,50,32
"29","MerMAID","TARA_B100000795",1.37116511257959e-06,0.000385463573129879,0.355718466843972,"TARA_085","DCM",90,100,10
"30","MerMAID","TARA_B100000809",1.3810561642214e-07,7.53086541821053e-05,0.183386116671511,"TARA_085","MES",790,800,2
"31","MerMAID","TARA_B100000900",8.5673791918688e-08,0.000444382308835251,0.019279298526362,"TARA_102","SRF",5,50,32
"32","MerMAID","TARA_B100000902",9.2148465801464e-08,0.000341736699531095,0.0269647555933861,"TARA_102","DCM",40,50,32
"33","MerMAID","TARA_B100000941",1.1293972486636e-07,0.000387314785655578,0.029159672971223,"TARA_112","SRF",5,50,32
"34","MerMAID","TARA_B100000945",1.9482889300337e-07,0.000341338841012633,0.0570778562513955,"TARA_112","DCM",155,200,2
"35","MerMAID","TARA_B100000965",1.9647320618606e-07,0.000415641064190018,0.0472699218420436,"TARA_100","DCM",50,50,32
"36","MerMAID","TARA_B100000989",4.9770127979784e-08,0.000491136894374807,0.0101336569396072,"TARA_096","SRF",5,50,32
"37","MerMAID","TARA_B100001029",2.2747307057326e-07,0.000380964416486543,0.05970979459739,"TARA_098","DCM",188,200,2
"38","MerMAID","TARA_B100001113",4.6964215180316e-08,0.000377470830065199,0.0124418130990954,"TARA_110","DCM",50,50,32
"39","MerMAID","TARA_B100001248",1.6757211612803e-07,0.000398161342597161,0.0420864856027901,"TARA_132","SRF",5,50,32
"40","MerMAID","TARA_B100001250",7.7470813228042e-07,0.00027570099684992,0.280995767564141,"TARA_132","DCM",115,150,14
"41","MerMAID","TARA_B100001750",9.6211841772905e-08,0.000164937815946031,0.0583321909660707,"TARA_148b","MES",250,250,1
"42","MerMAID","TARA_B100001758",5.5186929570992e-08,0.000464285487405356,0.0118864214083887,"TARA_149","SRF",5,50,32
"43","MerMAID","TARA_B100001996",2.765996176671e-07,0.000262638874374794,0.105315566222075,"TARA_138","DCM",60,100,10
"44","MerMAID","TARA_E500000081",1.5458099110954e-07,0.000542275370795562,0.028505995188894,"TARA_023","DCM",55,100,10
"45","MerMAID","TARA_E500000178",6.4434227059589e-08,0.000414366987659055,0.0155500387286176,"TARA_025","SRF",5,50,32
"46","MerMAID","TARA_E500000331",2.5874660943253e-07,0.000295029750962825,0.0877018702649866,"TARA_025","DCM",50,50,32
"47","MerMAID","TARA_X000000368",6.89398290482409e-08,0.000459073882070402,0.0150171533909369,"TARA_004","DCM",40,50,32
"48","MerMAID","TARA_Y100000052",5.9052664240634e-08,3.43789042818498e-06,1.71770059209859,"TARA_041","SRF",5,50,32
"49","MerMAID","TARA_Y100000356",1.7228621046394e-08,1.91704776237954e-05,0.0898705884354644,"TARA_065","SRF",5,50,32
"50","MerMAID","TARA_Y100000401",1.2994672219672e-08,9.02914882011054e-06,0.143919127689302,"TARA_064","DCM",65,100,10
"51","MerMAID","TARA_Y100000588",5.46394125765121e-07,6.15467864312772e-05,0.887770357230954,"TARA_125","SRF",5,50,32
"52","MerMAID","TARA_Y100000590",3.6896907182883e-08,0.000222444564945212,0.016587012225707,"TARA_125","SRF",5,50,32
"53","MerMAID","TARA_Y100000813",8.9569804636157e-08,0.000272288333167686,0.0328952047243964,"TARA_076","SRF",5,50,32
"54","MerMAID","TARA_Y100000814",5.2044967507319e-08,0.000239909450239408,0.0216935879163504,"TARA_076","DCM",150,150,14
"55","MerMAID","TARA_Y100000994",2.46876660215891e-07,0.00028909281540927,0.085397023743529,"TARA_078","DCM",120,150,14
"56","MerMAID","TARA_Y100000996",1.3856162787131e-07,0.000496804338183607,0.0278905833185581,"TARA_078","DCM",120,150,14
"57","MerMAID","TARA_Y100001934",4.5283847821101e-08,0.000165083447874182,0.0274308832316211,"TARA_124","MIX",120,150,14
"58","MerMAID","TARA_Y100001956",4.1515081671411e-07,1.1389454329882e-05,3.64504571237359,"TARA_123","MIX",150,150,14
"59","MerMAID","TARA_Y100001960",3.7197926329336e-08,0.000156558501582101,0.0237597613374123,"TARA_123","MIX",150,150,14
"60","MerMAID","TARA_Y100001968",1.5773216954916e-07,0.000113308987299453,0.139205347526675,"TARA_122","DCM",115,150,14
"61","MerMAID","TARA_Y100001973",5.5100464699485e-09,2.20196831416056e-05,0.0250232777398028,"TARA_122","DCM",115,150,14
